,매장 이름,매장 주소,지역 시/군/구,위도,경도
2284,GS25신한대기숙사점,"경기 의정부시 호암로95, 신한대학교 공공기숙사 카르멜1관 1F (호원동)",의정부시,37.7101972,127.0443604
2285,GS25신한대점,"경기 의정부시 망월로13번길4, 1층 (호원동 119-40, 모아쉐르빌)",의정부시,37.7080965,127.0466386
2286,GS25신현로드점,경기 광주시 오포읍 새말길64-2 (신현리 389),광주시,37.3708122,127.1794448
2287,GS25신현새소망점,경기 광주시 오포읍 문형산길47번길16 (신현리 347-5),광주시,37.3632633,127.1630314
2288,GS25신현스카이점,"경기 광주시 오포읍 새말길319-1, 지층 01호 (신현리 506-68)",광주시,37.3820095,127.1753639
2289,GS25신현에코힐점,경기 광주시 오포읍 신현로12-74 (신현리 796-8),광주시,37.35965059999999,127.1473433
2290,GS25신현중앙점,경기 광주시 오포읍 머루숯길8 (신현리 676-6),광주시,37.3606714,127.1554901
2291,GS25신현크라운점,경기 광주시 오포읍 문형산길47번길58 (신현리 395),광주시,37.3653256,127.1639637
2292,GS25신현행복점,경기 광주시 오포읍 문형산길70-23 (신현리 328-3),광주시,37.3636231,127.1657504
2293,GS25신흥빌리지점,"경기 성남시 수정구 공원로418번길7, 1층 (신흥동 86-2)",성남시 수정구,37.4481819,127.1446137
2294,GS25신흥제일점,경기 성남시 수정구 산성대로283번길20(신흥3동 2808-1),성남시 수정구,37.4429403,127.1475958
2295,GS25신흥중앙점,"경기 성남시 수정구 수정남로132번길26-1, 1층 (신흥동 4581)",성남시 수정구,37.44088139999999,127.1428729
2296,GS25신흥하늘채점,"경기 성남시 중원구 광명로174, 102호 (중앙동 3077)",성남시 중원구,37.4435313,127.1557417
2297,GS25신흥한성점,경기 성남시 수정구 산성대로215번길23 (신흥동 6219),성남시 수정구,37.4399748,127.1403734
2298,GS25신흥행복점,경기 성남시 수정구 산성대로271-1(신흥3동 2513),성남시 수정구,37.441199,127.1471579
2299,GS25실촌제일점,경기 광주시 곤지암읍 광여로698(건업리 544),광주시,37.3746924,127.4048494
2300,GS25심곡2점,경기 부천시 소사구 경인로216번길62(심곡본1동 654-4),부천시,37.4805753,126.7788984
2301,GS25심곡공원점,"경기 부천시 원미구 신흥로73번길60, 1층 (심곡3동 323-22)",부천시,37.490827,126.7743463
2302,GS25심곡그린점,"경기 부천시 소사구 심곡로22번길12, 101호 (심곡본1동 575-21, 그린빌)",부천시,37.4821728,126.7751559
2303,GS25심곡대로점,"경기 부천시 부천로47, 103.108호 (심곡동 349-3, 노마즈하우스)",부천시,37.4886422,126.7833455
2304,GS25심곡복개천점,"경기 부천시 부흥로444, 1층 (심곡동 132-2)",부천시,37.4870753,126.7885214
2305,GS25심곡본점,경기 부천시 소사구 심곡로9번길40(심곡본1동 665),부천시,37.4826038,126.7782232
2306,GS25심곡새로나점,"경기 부천시 부흥로352번길10, 101호 (심곡동 437-1)",부천시,37.4926489,126.7809646
2307,GS25심곡정명점,경기 부천시 소사구 성주로176(심곡본1동 621-4),부천시,37.4786476,126.7756352
2308,GS25심곡제일점,"경기 부천시 신흥로45번길56, 1층 (심곡동 344-4)",부천시,37.488361,126.7740169
2309,GS25심곡행운점,"경기 부천시 부천로121번길24-3, 1층 (심곡동 92-28)",부천시,37.4955074,126.7838923
2310,GS25쌍령이레타워점,경기 광주시 경충대로1480번길5 (쌍령동 238-1),광주시,37.4016822,127.2717726
2311,GS25쌍령푸르지오점,경기 광주시 경충대로1461번길43 (쌍령동 산54-1),광주시,37.397007,127.2703891
2312,GS25씨즈더원점,"경기 수원시 권선구 효원로220번길17, 1층 104호 (권선동 1011-9)",수원시 권선구,37.2621387,127.0258787
2313,GS25아주대점,경기 수원시 영통구 아주로46(원천동 18-1),수원시 영통구,37.2787653,127.044082
2314,GS25아주프라자점,"경기 수원시 영통구 월드컵로150번길20, 106호(원천동 576)",수원시 영통구,37.2751167,127.0536055
2315,GS25안녕우방점,"경기 화성시 안녕남로246-21, 상가동 105호, 106호 (안녕동 223)",화성시,37.2028734,127.0047575
2316,GS25안녕원룸점,"경기 화성시 효행로414번길16, 1층 일부(안녕동 188-440)",화성시,37.2115857,126.9814999
2317,GS25안산각골점,"경기 안산시 상록구 각골로1길3, 102호(본오2동 773-13)",안산시상록구,37.2941077,126.8731275
2318,GS25안산경일점,"경기 안산시 상록구 성포로45, 상가 103,104(성포동 591-4)",안산시상록구,37.3235082,126.8468069
2319,GS25안산고잔점,"경기 안산시 단원구 광덕서로62, 108호(고잔동 710-3, 고잔법조빌딩)",안산시단원구,37.3101746,126.8273525
2320,GS25안산골드점,"경기 안산시 단원구 원곡공원로1, 101호 (원곡동 960-4, 로자벨호텔)",안산시단원구,37.3331732,126.7939493
2321,GS25안산공고점,"경기 안산시 상록구 시낭북로5길13, 103호 (부곡동 724-8)",안산시상록구,37.3356147,126.8596207
2322,GS25안산광덕중점,"경기 안산시 상록구 광덕산안길29-1, 1층 (월피동 493-8)",안산시상록구,37.3361589,126.8449423
