,매장 이름,매장 주소,지역구,위도,경도
848,GS25답십리한신점,"서울 동대문구 한천로17길23, 1층(답십리2동 4-73)",동대문구,37.5699021,127.0627579
849,GS25답십리한양점,"서울 동대문구 답십리로182, 1층 (답십리2동 62-19)",동대문구,37.5726506,127.0602986
850,GS25답십리한천로점,"서울 동대문구 한천로37길19 (답십리동 1-548, 창승빌딩)",동대문구,37.5762414,127.066231
851,GS25당곡역점,"서울 관악구 신림로391, 1층 (신림동 1429-1)",관악구,37.4890316,126.9278085
852,GS25당산NC점,"서울 영등포구 양평로49, 1층 (당산동5가 16-1, 대림빌딩)",영등포구,37.5340569,126.9009846
853,GS25당산SK점,"서울 영등포구 당산로41길11, E-109-2 (당산동4가 80)",영등포구,37.5307871,126.8981
854,GS25당산강변점,"서울 영등포구 버드나루로130, 상가 1층(당산동6가 376, 강변래미안)",영등포구,37.52947109999999,126.9084217
855,GS25당산계룡점,"서울 영등포구 국회대로55길10, 제1층-1 (당산동 121-162)",영등포구,37.5260165,126.9083193
856,GS25당산골드점,"서울 영등포구 국회대로37길25, 105호 106호 (당산동4가 32-2)",영등포구,37.5289467,126.9005561
857,GS25당산공원점,서울 영등포구 양산로19길11 (당산동3가 398-3),영등포구,37.5253279,126.8949357
858,GS25당산금호점,서울 영등포구 국회대로37길15(당산동4가 32-102),영등포구,37.5283084,126.900036
859,GS25당산대로점,서울 영등포구 당산로32길1-11(당산동3가 190),영등포구,37.5269541,126.8983838
860,GS25당산대우점,"서울 영등포구 당산로30길9, 1층 (당산동3가 223-6)",영등포구,37.5256377,126.8977119
861,GS25당산래미안점,"서울 영등포구 당산로214, 상가 2동 1층 102호 (당산동5가 42, 당산삼성래미안)",영등포구,37.5318721,126.9031482
862,GS25당산미래점,"서울 영등포구 영등포로106, 102동 106호 (당산동2가 16-1, 대우아파트)",영등포구,37.5211385,126.8929533
863,GS25당산삼환점,서울 영등포구 영중로157-11 (영등포동8가 85-12),영등포구,37.5303419,126.9048666
864,GS25당산새말점,서울 영등포구 영등포로25길5 (당산동1가 24),영등포구,37.5203358,126.900006
865,GS25당산쉐르빌점,"서울 영등포구 당산로45길1, 상가 110호 (당산동5가 9-2, 쉐르빌)",영등포구,37.5334463,126.9010241
866,GS25당산스타점,"서울 영등포구 영신로219, 106호(당산동4가 1-2, 코오롱스타폴리스)",영등포구,37.5273438,126.9028113
867,GS25당산양남점,서울 영등포구 선유동1로12-1(당산동2가 111),영등포구,37.5231708,126.8918485
868,GS25당산양평점,"서울 영등포구 양평로16, 21번지 대정프라자(당산동6가 216-8)",영등포구,37.53284319999999,126.9044827
869,GS25당산양화점,"서울 영등포구 선유로52길11, 1층 (당산동6가 342, 석천)",영등포구,37.535893,126.8996134
870,GS25당산역점,"서울 영등포구 양평로64, 1층 (당산동6가 338-1, 한경빌딩)",영등포구,37.5350961,126.8999555
871,GS25당산정고을점,서울 영등포구 당산로49길20(당산동6가 350-14),영등포구,37.5363932,126.9011777
872,GS25당산진미점,"서울 영등포구 버드나루로19길5 (당산동 121-115, 찬솔원룸)",영등포구,37.5283622,126.9073868
873,GS25당산하나점,"서울 영등포구 영등포로103, 106호 (당산동2가 37, 하나비즈타워)",영등포구,37.522011,126.8931735
874,GS25당산한강점,서울 영등포구 당산로48길11 (당산동6가 293-1),영등포구,37.5347279,126.9033882
875,GS25당산현대점,"서울 영등포구 국회대로29길3, 1층 (당산동4가 92, 현대아파트)",영등포구,37.5289234,126.8960264
876,GS25당산효성점,"서울 영등포구 당산로205, 상가 104호 (당산동5가 9-3, 당산역효성해링턴타워오피스텔)",영등포구,37.5328714,126.9002677
877,GS25대륭포스트점,"서울 구로구 디지털로306, 1층 102호(구로3동 182-13, 대륭포스트타워ⅱ)",구로구,37.4858838,126.8973216
878,GS25대림그랜드점,"서울 영등포구 대림로198, 101호 (대림동 689-1, 대경빌딩)",영등포구,37.4984618,126.8986147
